frame_index,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24
56,246.50595092773438,253.77142333984375,245.98846435546875,321.88519287109375,803.4127197265625,280.0670471191406,352.8100280761719,885.4794311523438,341.2800598144531,341.4059753417969,796.8062133789062,426.99700927734375,338.1422119140625,842.074462890625,375.9822692871094,234.74688720703125,238.13380432128906,212.92401123046875,227.9386444091797,1784.173583984375,1793.9678955078125,0.0,1762.8109130859375,1763.966796875,1766.30078125
57,246.50375366210938,260.8385925292969,256.3733215332031,352.3368835449219,842.9324951171875,283.54351806640625,356.2792663574219,885.747314453125,348.2906494140625,348.42633056640625,798.6464233398438,426.99700927734375,345.0451354980469,825.6740112304688,1740.7069091796875,234.8172607421875,241.55284118652344,216.45501708984375,231.29673767089844,1784.178466796875,1793.9686279296875,1776.2802734375,1762.810302734375,1763.969970703125,1766.3084716796875
58,241.98712158203125,259.9928283691406,251.71737670898438,321.2718200683594,815.3128051757812,276.9897766113281,352.795654296875,837.3357543945312,333.1480712890625,333.2142333984375,806.2047729492188,427.0044250488281,333.3404235839844,806.930419921875,356.9638977050781,233.70333862304688,245.28143310546875,218.49317932128906,231.2171630859375,1781.4688720703125,1791.114013671875,0.0,1762.784912109375,1761.6595458984375,1766.327880859375
59,242.1249542236328,263.14178466796875,254.9688262939453,317.2764892578125,814.0037841796875,276.5393371582031,340.45928955078125,806.0900268554688,330.8557434082031,330.7308044433594,761.9393310546875,427.0419616699219,326.6780700683594,786.3743286132812,427.0347595214844,240.70294189453125,245.327392578125,221.9539794921875,227.5234832763672,1784.2763671875,1794.1063232421875,1789.7896728515625,0.0,0.0,1767.5181884765625
60,242.11343383789062,266.68798828125,258.7308044433594,316.77569580078125,813.6129150390625,275.9533386230469,335.0321960449219,791.55224609375,320.4027099609375,315.74407958984375,762.01220703125,428.5570373535156,320.7345886230469,769.7151489257812,427.2149353027344,240.72714233398438,248.60755920410156,222.04042053222656,230.97769165039062,1782.9205322265625,1794.0872802734375,427.0768737792969,0.0,0.0,1767.541748046875
61,241.13906860351562,266.8081359863281,261.7731628417969,320.8914794921875,826.7367553710938,276.946044921875,341.089599609375,756.9794311523438,332.01324462890625,340.0360412597656,795.8302612304688,429.2547912597656,321.2742614746094,749.5843505859375,394.917236328125,244.1881561279297,244.7139129638672,225.4685516357422,228.46400451660156,1789.7379150390625,1799.8280029296875,427.18896484375,1762.8099365234375,0.0,428.05560302734375
62,241.13868713378906,267.4622802734375,261.80389404296875,299.2154235839844,813.9970703125,280.3733825683594,332.97296142578125,773.8674926757812,325.12493896484375,333.00054931640625,760.3712768554688,428.8837585449219,325.7300109863281,739.9705810546875,429.68603515625,247.6212921142578,244.7530517578125,225.85409545898438,231.7938690185547,1789.7603759765625,1799.8505859375,429.7237854003906,0.0,0.0,427.7967834472656
63,241.22817993164062,267.2462158203125,261.9365234375,305.5289611816406,811.6253662109375,280.4568786621094,324.2645568847656,748.5569458007812,328.60491943359375,336.568359375,773.4285888671875,427.9329528808594,325.8267822265625,740.2266235351562,427.4440002441406,247.72193908691406,244.7987060546875,229.25404357910156,231.82894897460938,1789.7548828125,1798.4169921875,427.2762145996094,0.0,0.0,427.5480651855469
64,240.13418579101562,268.38018798828125,261.6416015625,300.65484619140625,771.9943237304688,281.3444519042969,320.5097351074219,778.4889526367188,326.6341552734375,334.72369384765625,771.0228881835938,428.62310791015625,320.1108703613281,728.799072265625,427.4394226074219,247.688720703125,240.34579467773438,229.58657836914062,232.8859100341797,1789.77294921875,1799.84765625,1791.173828125,1763.9718017578125,0.0,1768.7071533203125
65,240.16481018066406,268.2433166503906,258.17242431640625,289.8648986816406,771.8751831054688,281.25567626953125,322.527587890625,779.61572265625,330.0521240234375,333.6179504394531,764.8583374023438,429.7475891113281,323.87890625,742.605224609375,427.2441711425781,247.599365234375,240.34666442871094,229.4962921142578,232.87265014648438,1789.7830810546875,1799.85400390625,427.26763916015625,1763.9825439453125,0.0,1768.7100830078125
